日付,終了日付,行事名,対象,備考
2026-03-02,,後期定期考査,高１,
2026-03-02,,後期定期考査,高２,
2026-03-02,,後期定期考査,高３,
2026-03-04,,後期定期考査,中学,
2026-03-06,,考査終了・答案返却,全校,
2026-03-09,,球技大会,高１,体育館・グラウンド
2026-03-09,,進路ガイダンス,高２,午後・視聴覚室
2026-03-10,,球技大会,高２,
2026-03-10,,卒業生進路報告会,高３,午前
2026-03-11,,球技大会,中学,
2026-03-11,,職員会議,その他,15:30〜
2026-03-12,,大掃除,全校,
2026-03-12,,ホームルーム,全校,
2026-03-13,,学年末懇親会,その他,教職員
2026-03-16,,修了式,全校,体育館
2026-03-16,,表彰式,全校,体育館
2026-03-17,,春季休業開始,全校,
2026-03-17,2026-03-27,春季補講,高３,受験対策
2026-03-18,,新入生オリエンテーション準備,全校,
2026-03-19,,入学準備作業,その他,教職員
2026-03-20,,春分の日,その他,祝日
2026-03-23,,新入生物品販売,全校,9:00〜12:00
2026-03-24,,クラス編成発表,高１,
2026-03-25,,職員室整備,その他,
2026-03-26,,新年度準備,その他,教職員全員
2026-03-27,,教材購入締切,全校,
2026-04-01,,新年度開始,全校,
2026-04-01,,辞令交付式,その他,教職員
2026-04-06,,始業式,全校,体育館
2026-04-06,,クラス発表,全校,
2026-04-07,,入学式,全校,体育館
2026-04-07,,新入生歓迎準備,高１,
2026-04-08,2026-04-09,新入生オリエンテーション,全校,1泊2日
2026-04-10,,授業開始,全校,
2026-04-10,,部活動紹介,全校,放課後
2026-04-13,,健康診断,高１,
2026-04-13,,PTA新旧役員会,全校,保護者・教職員
2026-04-14,,健康診断,高２,
2026-04-15,,健康診断,高３,
2026-04-15,,職員会議,その他,16:00〜
2026-04-16,,健康診断,中学,
2026-04-17,,生徒総会,全校,6限・体育館
2026-04-20,,授業参観,全校,
2026-04-20,,PTA総会,全校,保護者向け
2026-04-21,2026-04-24,クラブ仮入部期間,全校,
2026-04-24,,学習オリエンテーション,高１,担任面談開始
2026-04-27,,昭和の日,その他,祝日
2026-04-28,,振替休日,その他,祝日
2026-04-28,,生徒面談,高２,担任
2026-04-30,,職員会議,その他,15:30〜
